1.337   16.7523   90.0980
1.338   15.9351   75.5019
1.339   15.2422   64.5303
1.340   14.6445   56.0098
1.341   14.1220   49.1940
1.342   13.6606   43.6107
1.343   13.2498   38.9475
1.344   12.8817   34.9895
1.345   12.5500   31.5837
1.346   12.2500   28.6184
1.347   11.9777   26.0100
1.348   11.7298   23.6948
1.349   11.5038   21.6230
1.350   11.2973   19.7557
1.351   11.1086   18.0617
1.352   10.9361   16.5156
1.353   10.7783   15.0968
1.354   10.6342   13.7882
1.355   10.5026   12.5756
1.356   10.3827   11.4469
1.357   10.2736   10.3921
1.358   10.1748    9.4024
1.359   10.0856    8.4705
1.360   10.0054    7.5900
1.361    9.9338    6.7551
1.362    9.8703    5.9611
1.363    9.8146    5.2036
1.364    9.7662    4.4788
1.365    9.7250    3.7834
1.366    9.6906    3.1143
1.367    9.6627    2.4689
1.368    9.6412    1.8447
1.369    9.6258    1.2394
1.370    9.6164    0.6512
1.371    9.6128    0.0781
1.372    9.6148   -0.4815
1.373    9.6224   -1.0292
1.374    9.6354   -1.5665
1.375    9.6537   -2.0947
1.376    9.6773   -2.6150
1.377    9.7060   -3.1288
1.378    9.7399   -3.6370
1.379    9.7788   -4.1409
1.380    9.8227   -4.6414
1.381    9.8716   -5.1396
1.382    9.9255   -5.6365
1.383    9.9843   -6.1331
1.384   10.0482   -6.6302
1.385   10.1169   -7.1290
1.386   10.1907   -7.6302
1.387   10.2696   -8.1350
1.388   10.3534   -8.6442
1.389   10.4424   -9.1589
1.390   10.5366   -9.6801
1.391   10.6360  -10.2090
1.392   10.7408  -10.7465
1.393   10.8510  -11.2939
1.394   10.9667  -11.8523
1.395   11.0880  -12.4232
1.396   11.2151  -13.0079
1.397   11.3482  -13.6079
1.398   11.4873  -14.2247
1.399   11.6327  -14.8602
1.400   11.7845  -15.5162
1.401   11.9430  -16.1947
1.402   12.1084  -16.8980
1.403   12.2810  -17.6287
1.404   12.4610  -18.3894
1.405   12.6487  -19.1832
1.406   12.8446  -20.0135
1.407   13.0490  -20.8842
1.408   13.2623  -21.7995
1.409   13.4850  -22.7645
1.410   13.7176  -23.7846
1.411   13.9607  -24.8663
1.412   14.2149  -26.0170
1.413   14.4810  -27.2452
1.414   14.7598  -28.5610
1.415   15.0523  -29.9760
1.416   15.3594  -31.5043
1.417   15.6823  -33.1624
1.418   16.0226  -34.9704
1.419   16.3817  -36.9526
1.420   16.7617  -39.1392
1.421   17.1645  -41.5673
1.422   17.5930  -44.2843
1.423   18.0502  -47.3504
1.424   18.5400  -50.8443
1.425   19.0671  -54.8704
1.426   19.6374  -59.5706
1.427   20.2585  -65.1428
1.428   20.9403  -71.8718
1.429   21.6959  -80.1833
1.430   22.5439  -90.7442
1.431   23.5108 -104.6635
1.432   24.6372 -123.9377
1.433   25.9896 -152.5815
1.434   27.6888 -200.1534
1.435   29.9927 -297.4368
1.436   33.6376 -685.8576
1.437   43.7098       nan
1.438       nan       nan
1.439       nan       nan
1.440       nan       nan
1.441       nan       nan
1.442       nan       nan
1.443       nan       nan
1.444       nan       nan
1.445       nan       nan
1.446       nan       nan
1.447       nan       nan
1.448       nan       nan
1.449       nan       nan
1.450       nan       nan
1.451       nan       nan
1.452       nan       nan
1.453       nan       nan
1.454       nan       nan
1.455       nan       nan
1.456       nan       nan
1.457       nan       nan
1.458       nan       nan
1.459       nan       nan
1.460       nan       nan
1.461       nan       nan
1.462       nan       nan
1.463       nan       nan
1.464       nan       nan
1.465       nan       nan
1.466       nan       nan
1.467       nan       nan
1.468       nan       nan
1.469       nan       nan
1.470       nan       nan
1.471       nan       nan
1.472       nan       nan
1.473       nan       nan
1.474       nan       nan
1.475       nan       nan
1.476       nan       nan
1.477       nan       nan
1.478       nan       nan
1.479       nan       nan
1.480       nan       nan
1.481       nan       nan
1.482       nan       nan
1.483       nan       nan
1.484       nan       nan
1.485       nan       nan
1.486       nan       nan
1.487       nan       nan
1.488       nan       nan
1.489       nan       nan
1.490       nan       nan
1.491       nan       nan
1.492       nan       nan
1.493       nan       nan
1.494       nan       nan
1.495       nan       nan
1.496       nan       nan
1.497       nan       nan
1.498       nan       nan
1.499       nan       nan
1.500       nan       nan
1.501       nan       nan
1.502       nan       nan
1.503       nan       nan
1.504       nan       nan
1.505       nan       nan
1.506       nan       nan
1.507       nan       nan
1.508       nan       nan
1.509       nan       nan
1.510       nan       nan
1.511       nan       nan
1.512       nan       nan
1.513       nan       nan
1.514       nan       nan
1.515       nan       nan
1.516       nan       nan
1.517       nan       nan
1.518       nan       nan
1.519       nan       nan
1.520       nan       nan
1.521       nan       nan
1.522       nan       nan
1.523       nan       nan
1.524       nan       nan
1.525       nan       nan
1.526       nan       nan
1.527       nan       nan
1.528       nan       nan
1.529       nan       nan
1.530       nan       nan
1.531       nan       nan
1.532       nan       nan
1.533       nan       nan
1.534       nan       nan
1.535       nan       nan
1.536   47.0182       nan
1.537   40.5764  469.0215
1.538   37.6378  241.8577
1.539   35.7393  164.4224
1.540   34.3493  123.8488
1.541   33.2623   98.6331
1.542   32.3767   81.3699
1.543   31.6349   68.7774
1.544   31.0011   59.1680
1.545   30.4515   51.5817
1.546   29.9695   45.4315
1.547   29.5429   40.3377
1.548   29.1627   36.0435
1.549   28.8220   32.3693
1.550   28.5153   29.1851
1.551   28.2383   26.3951
1.552   27.9874   23.9265
1.553   27.7598   21.7234
1.554   27.5530   19.7421
1.555   27.3649   17.9476
1.556   27.1940   16.3122
1.557   27.0387   14.8128
